iter	Passed	Remaining
0	175	175445
1	179	89321
2	182	60517
3	185	46185
4	188	37566
5	191	31778
6	194	27660
7	197	24550
8	200	22113
9	203	20172
10	206	18581
11	209	17251
12	212	16125
13	215	15160
14	218	14340
15	221	13612
16	224	12970
17	227	12391
18	230	11892
19	233	11427
20	236	11008
21	239	10627
22	242	10284
23	245	9976
24	248	9684
25	251	9411
26	254	9160
27	257	8935
28	260	8726
29	263	8524
30	266	8336
31	269	8166
32	273	8003
33	276	7846
34	279	7700
35	282	7560
36	285	7427
37	288	7297
38	291	7173
39	293	7054
40	296	6946
41	300	6844
42	303	6746
43	306	6648
44	308	6555
45	312	6476
46	315	6393
47	318	6312
48	320	6227
49	322	6136
50	324	6045
51	326	5958
52	328	5866
53	329	5777
54	331	5692
55	332	5609
56	334	5532
57	335	5452
58	336	5374
59	338	5297
60	339	5223
61	340	5153
62	341	5084
63	343	5016
64	344	4949
65	345	4884
66	346	4821
67	346	4753
68	348	4696
69	349	4639
70	350	4584
71	351	4530
72	352	4476
73	353	4425
74	354	4375
75	355	4325
76	356	4277
77	357	4231
78	359	4185
79	360	4141
80	361	4097
81	362	4055
82	363	4013
83	364	3973
84	365	3930
85	366	3892
86	366	3850
87	368	3814
88	369	3781
89	370	3745
90	371	3710
91	372	3677
92	373	3642
93	374	3609
94	375	3577
95	376	3545
96	377	3513
97	378	3480
98	379	3450
99	379	3419
100	380	3389
101	381	3356
102	382	3327
103	382	3297
104	383	3269
105	384	3241
106	385	3213
107	385	3186
108	386	3159
109	387	3133
110	387	3107
111	388	3081
112	389	3056
113	390	3032
114	390	3008
115	391	2983
116	392	2960
117	392	2937
118	393	2913
119	394	2891
120	395	2870
121	395	2849
122	396	2825
123	397	2806
124	398	2787
125	398	2767
126	399	2747
127	400	2726
128	400	2707
129	401	2688
130	402	2670
131	403	2651
132	403	2633
133	404	2615
134	405	2597
135	406	2580
136	406	2563
137	407	2545
138	408	2529
139	409	2513
140	409	2497
141	410	2481
142	411	2466
143	412	2451
144	413	2436
145	413	2421
146	414	2406
147	415	2392
148	416	2378
149	417	2364
150	417	2350
151	418	2336
152	419	2322
153	420	2309
154	421	2296
155	421	2282
156	422	2269
157	423	2256
158	424	2244
159	425	2231
160	425	2219
161	426	2207
162	427	2195
163	428	2183
164	429	2172
165	429	2160
166	430	2148
167	431	2137
168	432	2126
169	433	2114
170	433	2103
171	434	2092
172	435	2081
173	436	2071
174	437	2060
175	437	2050
176	438	2039
177	439	2029
178	440	2019
179	441	2009
180	441	1997
181	442	1987
182	443	1977
183	443	1968
184	444	1958
185	445	1949
186	446	1939
187	446	1930
188	447	1921
189	448	1911
190	449	1902
191	450	1893
192	450	1885
193	451	1876
194	452	1867
195	453	1859
196	454	1850
197	454	1842
198	455	1834
199	456	1825
200	457	1817
201	457	1809
202	458	1801
203	459	1793
204	460	1785
205	461	1777
206	461	1769
207	462	1761
208	463	1753
209	464	1746
210	465	1738
211	465	1731
212	466	1723
213	467	1716
214	468	1709
215	469	1702
216	469	1695
217	470	1688
218	471	1681
219	472	1673
220	472	1667
221	473	1659
222	474	1653
223	475	1646
224	476	1639
225	476	1632
226	477	1626
227	478	1619
228	479	1612
229	479	1606
230	480	1599
231	481	1593
232	482	1587
233	483	1581
234	483	1575
235	484	1569
236	485	1563
237	486	1557
238	487	1551
239	488	1546
240	488	1540
241	489	1534
242	490	1528
243	491	1522
244	492	1516
