iter	Passed	Remaining
0	163	163329
1	165	82544
2	167	55583
3	169	42099
4	171	34083
5	173	28825
6	175	24938
7	177	22053
8	179	19795
9	181	17992
10	183	16519
11	185	15299
12	189	14370
13	190	13451
14	192	12641
15	194	11948
16	196	11348
17	197	10785
18	199	10287
19	200	9832
20	202	9445
21	204	9074
22	205	8728
23	206	8407
24	208	8117
25	209	7852
26	210	7600
27	212	7370
28	213	7157
29	215	6957
30	217	6785
31	218	6609
32	219	6443
33	221	6286
34	222	6142
35	224	6002
36	225	5868
37	226	5741
38	228	5620
39	229	5505
40	231	5404
41	233	5321
42	234	5227
43	236	5139
44	238	5059
45	239	4977
46	241	4896
47	242	4817
48	244	4741
49	246	4678
50	247	4613
51	249	4547
52	250	4482
53	252	4424
54	253	4362
55	255	4302
56	256	4244
57	257	4188
58	259	4135
59	261	4092
60	263	4048
61	264	4005
62	266	3962
63	267	3919
64	269	3878
65	271	3838
66	272	3796
67	276	3786
68	278	3756
69	280	3722
70	281	3688
71	283	3654
72	285	3620
73	286	3586
74	288	3552
75	289	3524
76	291	3497
77	293	3467
78	294	3438
79	296	3411
80	298	3381
81	299	3352
82	300	3317
83	301	3289
84	303	3263
85	304	3241
86	306	3217
87	308	3193
88	309	3171
89	311	3147
90	312	3123
91	314	3100
92	315	3079
93	317	3058
94	319	3040
95	320	3022
96	322	3002
97	324	2983
98	325	2963
99	327	2944
100	328	2924
101	330	2906
102	331	2890
103	333	2877
104	335	2862
105	337	2846
106	338	2827
107	340	2809
108	341	2790
109	342	2773
110	344	2755
111	345	2737
112	346	2720
113	347	2704
114	349	2693
115	351	2678
116	352	2662
117	354	2647
118	355	2631
119	356	2615
120	358	2600
121	359	2583
122	360	2568
123	361	2554
124	363	2543
125	365	2535
126	366	2520
127	368	2507
128	369	2494
129	370	2480
130	371	2466
131	373	2452
132	374	2439
133	375	2426
134	376	2415
135	379	2409
136	380	2398
137	382	2387
138	383	2375
139	384	2364
140	386	2352
141	387	2339
142	388	2328
143	389	2318
144	391	2309
145	393	2302
146	394	2292
147	396	2282
148	398	2273
149	399	2264
150	401	2257
151	403	2250
152	404	2241
153	406	2235
154	409	2230
155	411	2225
156	413	2218
157	414	2209
158	416	2202
159	417	2194
160	418	2182
161	420	2174
162	422	2168
163	423	2160
164	425	2151
165	426	2143
166	427	2134
167	429	2125
168	430	2116
169	432	2109
170	433	2102
171	435	2094
172	436	2087
173	438	2081
174	440	2075
175	442	2070
176	443	2062
177	444	2054
178	446	2047
179	447	2039
180	449	2032
181	451	2030
182	453	2025
183	455	2019
184	456	2011
185	457	2004
186	459	1996
187	460	1989
188	462	1983
189	463	1976
190	465	1969
191	467	1965
192	469	1963
193	471	1958
194	473	1953
195	474	1947
196	476	1943
197	478	1938
198	481	1936
199	483	1933
200	485	1931
201	488	1928
202	490	1925
203	492	1920
204	497	1927
205	499	1924
206	501	1919
207	504	1920
208	506	1917
209	508	1913
210	515	1926
211	518	1927
212	520	1923
213	521	1917
214	523	1910
215	524	1904
216	528	1906
217	535	1922
218	537	1916
219	538	1910
220	540	1905
221	544	1906
222	546	1902
223	547	1897
224	549	1891
225	550	1884
226	551	1878
227	552	1872
228	554	1866
229	556	1862
230	557	1857
231	559	1852
232	561	1847
233	562	1841
234	563	1835
235	565	1829
236	566	1823
237	567	1817
238	569	1811
239	570	1807
240	572	1803
241	574	1797
242	575	1792
243	577	1787
244	578	1782
245	579	1776
246	580	1770
247	582	1765
248	583	1760
249	585	1755
250	587	1752
251	588	1747
252	590	1742
253	591	1737
254	592	1732
255	594	1726
256	595	1721
257	596	1716
258	598	1711
259	599	1706
260	601	1702
261	602	1698
262	604	1694
263	605	1689
264	607	1684
265	608	1678
266	609	1673
267	610	1668
268	612	1665
269	614	1660
270	616	1659
271	618	1656
272	620	1653
273	622	1648
274	624	1645
275	626	1642
276	627	1638
277	629	1633
278	633	1637
279	635	1633
280	637	1630
281	638	1626
282	640	1622
283	641	1618
284	643	1614
285	645	1610
286	647	1608
287	649	1605
288	651	1602
289	653	1599
290	655	1596
291	657	1593
292	659	1590
293	661	1588
294	663	1586
295	666	1585
296	668	1582
297	670	1578
298	671	1574
299	673	1570
300	674	1566
301	676	1563
302	678	1561
303	680	1557
304	681	1552
305	682	1548
306	684	1544
307	685	1540
308	686	1535
309	688	1531
310	689	1528
311	692	1526
312	693	1522
313	695	1518
314	696	1514
315	698	1511
316	699	1508
317	701	1504
318	702	1499
319	704	1496
320	705	1492
321	707	1489
322	708	1485
323	710	1482
324	711	1478
325	713	1474
326	714	1471
327	716	1467
328	717	1463
329	719	1460
330	721	1458
331	723	1454
332	724	1451
333	726	1447
334	727	1444
335	728	1440
336	730	1436
337	731	1433
338	733	1430
339	735	1427
340	736	1423
341	738	1420
342	739	1416
343	740	1412
344	742	1408
345	743	1405
346	744	1401
347	746	1398
348	748	1396
349	750	1393
350	751	1389
351	753	1386
352	754	1383
353	756	1380
354	757	1376
355	758	1373
356	760	1369
357	762	1366
358	764	1364
359	766	1362
360	767	1359
361	769	1355
362	770	1352
363	771	1348
364	773	1345
365	774	1342
366	776	1338
367	777	1336
368	779	1333
369	781	1330
